microsample	quality
M300800	3
M300801	5
M300803	5
M300804	4
M300805	3
M300806	5
M300807	4
M300808	4
M300809	5
M300810	5
M300811	5
M300812	1
M300813	1
M300814	5
M300815	5
M300816	5
M300817	1
M300818	5
M300819	5
M300820	5
M300821	4
M300822	5
M300823	3
M300824	5
M300825	5
M300826	1
M300827	4
M300828	4
M300829	5
M300830	1
M300831	5
M300832	1
M300833	4
M300834	5
M300835	5
M300836	5
M300837	4
M300838	1
M300839	4
M300840	4
M300841	1
M300886	5
M301037	4
M301038	5
M301039	5
M301040	1
M301041	5
M301042	4
M301043	1
M301044	5
M301045	5
M301046	5
M301047	1
M301048	4
M301049	5
M301050	5
M301051	5
M301052	5
M301053	1
M301054	5
M301055	1
M301056	1
M301057	4
M301058	5
M301059	5
M301060	5
M301061	1
M301062	1
M301063	5
M301064	4
M301065	5
M301066	4
M301067	1
M301068	5
M301069	5
M301070	5
M301071	1
M301072	4
M301073	5
M301074	2
M301075	5
M301076	4
M301077	5
M301078	1
M301079	5
M301080	5
M301081	5
M301082	5
M301083	1
M301084	5
M301085	5
M301086	3
M301087	4
M301089	5
M301090	3
M301091	1
M301092	5
M301093	5
M301094	4
M301095	4
M301096	0
M301097	4
M301098	2
M301099	5
M301100	0
M301101	3
M301102	5
M301103	5
M301104	5
M301105	0
M301106	0
M301107	5
M301108	0
M301109	5
M301110	5
M301111	5
M301112	5
M301113	5
M301114	2
M301115	5
M301116	5
M301117	1
M301118	5
M301119	5
M301120	1
M301121	5
M301122	5
M301123	2
M301124	5
M301125	4
M301126	5
M301127	1
M301128	5
M301129	3
M301130	5
M301131	2
M301132	1
M301133	5
M301134	3
M301135	0
M301136	5
M301137	5
M301138	2
M301139	5
M301140	3
M301141	5
M301142	4
M301143	5
M301144	5
M301145	1
M301146	2
M301147	0
M301148	3
M301149	3
M301150	0
M301151	3
M301152	4
M301153	4
M301154	5
M301155	3
M301156	1
M301157	5
M301158	4
M301159	4
M301160	0
M301161	5
M301162	5
M301163	5
M301164	5
M301165	1
M301166	5
M301167	1
M301168	4
M301169	4
M301170	1
M301171	3
M301172	4
M301173	4
M301174	0
M301175	2
M301176	0
M301177	4
M301178	4
M301179	5
M301180	0
M301181	5
M301182	5
M301183	0
M301184	5
M301185	4
